iter,t_ns,dt_ns,jitter_ns,miss,workload_ratio,cpu_load,mode
0,5113699304043,14253930,5746070,0,0.7,0.0,NORMAL
1,5113739295315,39991272,19991272,1,0.7,7.8,NORMAL
2,5113759302583,20007268,7268,0,0.7,9.4,NORMAL
3,5113779273302,19970719,29281,0,0.7,12.1,NORMAL
4,5113799279628,20006326,6326,0,0.7,9.7,NORMAL
5,5113819266707,19987079,12921,0,0.7,9.4,NORMAL
6,5113839259348,19992641,7359,0,0.7,6.5,NORMAL
7,5113859249634,19990286,9714,0,0.7,12.1,NORMAL
8,5113879260849,20011215,11215,0,0.7,9.4,NORMAL
9,5113899254261,19993412,6588,0,0.7,9.4,NORMAL
10,5113919237583,19983322,16678,0,0.7,9.4,NORMAL
11,5113939245823,20008240,8240,0,0.7,6.2,NORMAL
12,5113959269321,20023498,23498,0,0.7,6.5,NORMAL
13,5113979488698,20219377,219377,0,0.7,12.1,NORMAL
14,5113999271924,19783226,216774,0,0.7,9.7,NORMAL
15,5114019251901,19979977,20023,0,0.7,9.4,NORMAL
16,5114039265280,20013379,13379,0,0.7,12.1,NORMAL
17,5114059241349,19976069,23931,0,0.7,9.4,NORMAL
18,5114079261261,20019912,19912,0,0.7,9.4,NORMAL
19,5114099258560,19997299,2701,0,0.7,9.4,NORMAL
20,5114119261419,20002859,2859,0,0.7,9.4,NORMAL
21,5114139269078,20007659,7659,0,0.7,9.4,NORMAL
22,5114159268200,19999122,878,0,0.7,6.5,NORMAL
23,5114179263916,19995716,4284,0,0.7,12.1,NORMAL
24,5114199264401,20000485,485,0,0.7,9.4,NORMAL
25,5114219261781,19997380,2620,0,0.7,6.5,NORMAL
26,5114239260653,19998872,1128,0,0.7,9.1,NORMAL
27,5114259254686,19994033,5967,0,0.7,9.4,NORMAL
28,5114279261462,20006776,6776,0,0.7,12.1,NORMAL
29,5114299257158,19995696,4304,0,0.7,6.5,NORMAL
30,5114319246573,19989415,10585,0,0.7,12.1,NORMAL
31,5114339237620,19991047,8953,0,0.7,9.1,NORMAL
32,5114359288730,20051110,51110,0,0.7,9.4,NORMAL
33,5114379211128,19922398,77602,0,0.7,12.1,NORMAL
34,5114399244115,20032987,32987,0,0.7,9.4,NORMAL
35,5114419298311,20054196,54196,0,0.7,6.5,NORMAL
36,5114439258921,19960610,39390,0,0.7,12.1,NORMAL
37,5114459243856,19984935,15065,0,0.7,6.5,NORMAL
38,5114479222010,19978154,21846,0,0.7,12.1,NORMAL
39,5114499275645,20053635,53635,0,0.7,9.4,NORMAL
40,5114519215075,19939430,60570,0,0.7,6.5,NORMAL
41,5114539255184,20040109,40109,0,0.7,14.3,NORMAL
42,5114559321553,20066369,66369,0,0.7,6.5,NORMAL
43,5114579241166,19919613,80387,0,0.7,6.5,NORMAL
44,5114599228526,19987360,12640,0,0.7,9.1,NORMAL
45,5114619300947,20072421,72421,0,0.7,9.1,NORMAL
46,5114639305590,20004643,4643,0,0.7,6.5,NORMAL
47,5114659216947,19911357,88643,0,0.7,9.4,NORMAL
48,5114679276403,20059456,59456,0,0.7,9.4,NORMAL
49,5114699236161,19959758,40242,0,0.7,9.4,NORMAL
50,5114719227790,19991629,8371,0,0.7,9.1,NORMAL
51,5114739315599,20087809,87809,0,0.7,6.3,NORMAL
52,5114759495902,20180303,180303,0,0.7,9.4,NORMAL
53,5114779199048,19703146,296854,0,0.7,6.5,NORMAL
54,5114799250709,20051661,51661,0,0.7,9.1,NORMAL
55,5114819241446,19990737,9263,0,0.7,12.1,NORMAL
56,5114839248153,20006707,6707,0,0.7,6.5,NORMAL
57,5114859266301,20018148,18148,0,0.7,9.4,NORMAL
58,5114879294929,20028628,28628,0,0.7,9.4,NORMAL
59,5114899258845,19963916,36084,0,0.7,6.3,NORMAL
60,5114919239673,19980828,19172,0,0.7,12.1,NORMAL
61,5114939233947,19994274,5726,0,0.7,6.5,NORMAL
62,5114959238970,20005023,5023,0,0.7,9.4,NORMAL
63,5114979260896,20021926,21926,0,0.7,12.1,NORMAL
64,5114999270458,20009562,9562,0,0.7,12.5,NORMAL
65,5115019261746,19991288,8712,0,0.7,9.4,NORMAL
66,5115039242684,19980938,19062,0,0.7,6.5,NORMAL
67,5115059239051,19996367,3633,0,0.7,9.1,NORMAL
68,5115079301052,20062001,62001,0,0.7,12.5,NORMAL
69,5115099259408,19958356,41644,0,0.7,6.3,NORMAL
70,5115119242540,19983132,16868,0,0.7,9.4,NORMAL
71,5115139244027,20001487,1487,0,0.7,9.4,NORMAL
72,5115159242118,19998091,1909,0,0.7,6.5,NORMAL
